Customer ID,Age,Gender,Subscription Status,Previous Purchases,Frequency of Purchases,Location
3632,48,Female,No,26,Monthly,New Jersey
3217,39,Female,No,18,Weekly,Illinois
3696,38,Female,No,18,Fortnightly,Florida
146,24,Male,Yes,44,Quarterly,Missouri
693,35,Male,Yes,40,Every 3 Months,North Dakota
1837,66,Male,No,35,Monthly,South Carolina
598,70,Male,Yes,19,Fortnightly,Alaska
165,59,Male,Yes,5,Fortnightly,Delaware
1186,47,Male,No,29,Monthly,Maine
3328,47,Female,No,2,Quarterly,Connecticut
4404,67,Male,Yes,20,Monthly,New York
4153,67,Other,No,31,Monthly,Los Angeles
4587,52,Male,Yes,,Quarterly,Phoenix
4057,41,Female,No,10,Quarterly,Los Angeles
3889,45,Female,No,14,Bi-Weekly,Virginia
106,69,Male,Yes,4,Annually,New York
4176,23,Male,No,,Weekly,Chicago
63,30,Male,Yes,31,Fortnightly,Mississippi
3455,55,Female,No,15,Bi-Weekly,Louisiana
2500,52,Male,No,2,Quarterly,Louisiana
2136,34,Male,No,1,Every 3 Months,California
3584,52,Female,No,44,Every 3 Months,Arizona
4118,18,Other,Yes,,Quarterly,Phoenix
2547,63,Male,No,4,Quarterly,Texas
4972,46,Other,No,3,Monthly,New York
3365,50,Female,No,7,Monthly,Oregon
1637,58,Male,No,49,Fortnightly,North Dakota
2000,39,Male,No,26,Monthly,Tennessee
2603,65,Male,No,1,Quarterly,South Carolina
2700,25,Female,No,49,Annually,Utah
4189,38,Male,Yes,,Weekly,Los Angeles
3371,30,Female,No,46,Fortnightly,Illinois
3599,23,Female,No,19,Bi-Weekly,Connecticut
4072,63,Male,No,,Quarterly,Los Angeles
1432,39,Male,No,29,Quarterly,South Dakota
2381,41,Male,No,36,Fortnightly,Pennsylvania
2120,58,Male,No,36,Bi-Weekly,Nebraska
3502,53,Female,No,43,Weekly,Nebraska
3551,63,Female,No,32,Weekly,West Virginia
712,64,Male,Yes,13,Bi-Weekly,New Hampshire
1337,23,Male,No,44,Fortnightly,Oregon
1047,40,Male,Yes,12,Annually,Illinois
2225,18,Male,No,38,Quarterly,Nebraska
3525,69,Female,No,30,Monthly,Michigan
4530,20,Male,Yes,,Monthly,New York
3199,61,Female,No,39,Weekly,Pennsylvania
70,48,Male,Yes,5,Weekly,Tennessee
2721,55,Female,No,45,Quarterly,Maryland
436,51,Male,Yes,42,Monthly,Montana
387,64,Male,Yes,40,Quarterly,Louisiana
3867,58,Female,No,33,Fortnightly,Alaska
3358,41,Female,No,37,Monthly,Arkansas
608,47,Male,Yes,44,Monthly,Indiana
115,70,Male,Yes,9,Weekly,Massachusetts
4712,60,Male,No,16,Monthly,Chicago
5058,63,Other,Yes,,Quarterly,Los Angeles
2568,19,Male,,24,Fortnightly,Michigan
4381,53,Female,No,,Monthly,Chicago
4192,46,Other,Yes,,Monthly,Houston
235,20,Male,Yes,24,Weekly,South Dakota
3699,25,Female,No,4,Annually,California
3215,53,Female,No,6,Annually,Washington
1876,63,Male,,6,Quarterly,Tennessee
1625,38,Male,No,40,Every 3 Months,Florida
1396,47,Male,No,40,Bi-Weekly,West Virginia
9,26,Male,Yes,8,Annually,West Virginia
2168,30,Male,No,33,Fortnightly,Ohio
749,35,Male,Yes,8,Quarterly,South Dakota
2507,57,Male,No,19,Annually,New York
1285,65,Male,No,38,Fortnightly,Arkansas
4047,49,Male,Yes,,Weekly,Phoenix
5014,60,Female,Yes,44,Monthly,Phoenix
1195,50,Male,No,6,Fortnightly,New York
2013,48,Male,No,5,Fortnightly,Nevada
4076,57,Other,No,38,Weekly,Phoenix
2050,68,Male,No,15,Annually,Rhode Island
1306,31,Male,No,2,Every 3 Months,Mississippi
5024,38,Other,Yes,,Quarterly,Los Angeles
3170,35,Female,No,3,Weekly,Georgia
1116,30,Male,No,37,Weekly,New York
2317,28,Male,No,7,Annually,Montana
728,62,Male,Yes,37,Every 3 Months,Arkansas
467,38,Male,Yes,25,Weekly,Vermont
4235,56,Other,Yes,,Quarterly,New York
656,20,Male,Yes,19,Monthly,Mississippi
4542,28,Other,Yes,,Weekly,Houston
99,20,Male,Yes,20,Annually,New York
3681,22,Female,No,30,Quarterly,Iowa
3715,18,Female,,35,Weekly,New York
2726,64,Female,No,4,Annually,Mississippi
2544,27,Male,No,30,Bi-Weekly,West Virginia
2834,43,Female,No,19,Monthly,Arkansas
1084,35,Male,No,43,Weekly,Washington
2904,38,Female,No,24,Every 3 Months,Delaware
964,21,Male,,14,Weekly,South Carolina
299,69,Male,Yes,11,Every 3 Months,Maryland
1327,40,Male,No,17,Monthly,Texas
2789,56,Female,No,2,Annually,Rhode Island
2321,28,Male,No,9,Every 3 Months,New Mexico
79,50,Male,Yes,50,Fortnightly,Nebraska
771,19,Male,Yes,8,Annually,Vermont
1543,59,Male,No,43,Weekly,Hawaii
2223,32,Male,No,30,Weekly,Georgia
3461,41,Female,No,5,Bi-Weekly,Indiana
1952,33,Male,No,32,Bi-Weekly,Connecticut
4552,57,Male,No,,Quarterly,New York
1645,68,Male,No,21,Monthly,North Carolina
510,41,Male,Yes,17,Weekly,Delaware
2854,37,Female,No,9,Weekly,Pennsylvania
378,63,Male,Yes,39,Every 3 Months,Maine
827,54,Male,Yes,36,Weekly,Massachusetts
4571,40,Other,Yes,,Quarterly,New York
546,33,Male,Yes,48,Annually,Alabama
2085,32,Male,No,43,Quarterly,Vermont
641,53,Male,Yes,28,Fortnightly,Minnesota
5037,41,Female,Yes,,Monthly,New York
4843,22,Female,No,32,Quarterly,Los Angeles
1771,53,Male,No,34,Weekly,Michigan
1861,18,Male,No,4,Monthly,Kansas
4011,50,Female,No,,Quarterly,Los Angeles
2915,45,Female,No,1,Bi-Weekly,Pennsylvania
5009,35,Male,Yes,41,Quarterly,New York
5083,42,Other,No,48,Quarterly,Houston
2990,46,Female,No,6,Weekly,Rhode Island
4079,28,Male,Yes,15,Monthly,Chicago
2056,28,Male,No,28,Weekly,Texas
1994,32,Male,No,17,Weekly,Arkansas
4257,60,Other,Yes,11,Quarterly,Houston
2347,22,Male,No,46,Fortnightly,New Mexico
3063,51,Female,No,39,Monthly,California
1967,67,Male,No,5,Fortnightly,Indiana
2131,25,Male,No,33,Annually,Arizona
4171,23,Male,Yes,,Weekly,Phoenix
818,25,Male,Yes,30,Fortnightly,Nevada
3336,44,Female,No,48,Quarterly,Texas
2100,31,Male,No,50,Annually,Oklahoma
383,28,Male,Yes,47,Quarterly,California
4991,29,Other,Yes,,Weekly,Los Angeles
1592,18,Male,No,24,Annually,South Dakota
4077,33,Male,No,40,Weekly,New York
3127,57,Female,No,28,Bi-Weekly,Maine
3759,61,Female,No,23,Quarterly,Indiana
1877,54,Male,No,20,Quarterly,Illinois
4896,24,Female,No,,Quarterly,New York
1564,68,Male,No,8,Weekly,Kansas
1610,33,Male,No,3,Monthly,Nevada
148,63,Male,Yes,31,Fortnightly,Idaho
2946,32,Female,No,1,Every 3 Months,Delaware
149,37,Male,Yes,47,Annually,Wyoming
5095,57,Female,No,24,Weekly,New York
2564,69,Male,No,1,Every 3 Months,Massachusetts
470,21,Male,Yes,30,Bi-Weekly,Alabama
2027,37,Male,No,45,Every 3 Months,Maine
2957,52,Female,No,30,Monthly,Montana
1995,33,Male,No,24,Weekly,Nevada
4933,44,Other,Yes,,Monthly,Chicago
111,56,Male,Yes,26,Fortnightly,New York
1010,39,Male,Yes,11,Annually,Louisiana
4355,46,Female,No,41,Quarterly,New York
4743,65,Female,Yes,50,Monthly,New York
585,70,Male,Yes,20,Monthly,Indiana
976,58,Male,Yes,2,Weekly,Washington
2287,67,Male,No,35,Quarterly,South Dakota
1978,24,Male,No,32,Annually,Florida
4741,23,Male,No,,Quarterly,Houston
2228,40,Male,No,42,Fortnightly,Washington
2019,60,Male,No,20,Weekly,Arkansas
5027,39,Male,No,,Weekly,Houston
5082,56,Female,Yes,,Weekly,Chicago
4249,19,Other,Yes,,Quarterly,Houston
638,21,Male,Yes,46,Fortnightly,Tennessee
3357,39,Female,No,13,Bi-Weekly,Tennessee
777,49,Male,Yes,8,Every 3 Months,Alabama
2439,32,Male,No,30,Weekly,Delaware
2690,29,Female,No,47,Quarterly,Wyoming
2552,29,Male,No,40,Annually,Minnesota
4424,69,Other,No,2,Quarterly,Chicago
4214,34,Other,Yes,15,Monthly,Phoenix
3526,45,Female,No,47,Annually,Wyoming
406,41,Male,Yes,15,Annually,South Carolina
2326,44,Male,No,47,Weekly,New York
2934,27,Female,No,28,Monthly,Illinois
116,53,Male,Yes,48,Every 3 Months,Wyoming
3208,67,Female,No,14,Annually,Arizona
1841,42,Male,No,46,Every 3 Months,Wyoming
583,40,Male,Yes,2,Quarterly,Colorado
1698,36,Male,No,48,Every 3 Months,South Carolina
739,56,Male,Yes,27,Quarterly,Minnesota
3142,36,Female,No,47,Bi-Weekly,Mississippi
3538,57,Female,No,40,Every 3 Months,Georgia
2249,63,Male,No,19,Fortnightly,Rhode Island
4557,51,Other,Yes,,Weekly,Los Angeles
1054,59,Male,No,10,Bi-Weekly,Kansas
346,48,Male,Yes,27,Annually,Wyoming
1387,68,Male,No,4,Quarterly,Oregon
1399,30,Male,No,25,Weekly,Texas
1900,32,Male,No,42,Weekly,New York
2323,39,Male,No,21,Fortnightly,Connecticut
2750,64,Female,No,15,Annually,Vermont
922,70,Male,Yes,18,Weekly,South Dakota
78,22,Male,Yes,36,Fortnightly,Delaware
651,34,Male,Yes,12,Annually,Florida
1933,42,Male,No,47,Every 3 Months,Maryland
1747,65,Male,No,44,Fortnightly,Alabama
27,38,Male,Yes,13,Annually,Nevada
325,37,Male,Yes,37,Quarterly,Wyoming
4237,27,Male,Yes,44,Quarterly,Los Angeles
4794,52,Female,No,41,Weekly,Phoenix
4804,62,Female,Yes,15,Quarterly,Chicago
1287,40,Male,,44,Fortnightly,West Virginia
1102,30,Male,No,39,Fortnightly,Delaware
1323,23,Male,No,17,Quarterly,Washington
1115,55,Male,No,47,Every 3 Months,New Hampshire
1656,37,Male,No,4,Monthly,Arizona
3706,28,Female,No,2,Annually,Colorado
503,59,Male,Yes,8,Fortnightly,South Carolina
2879,63,Female,No,13,Annually,California
1150,21,Male,No,40,Annually,Georgia
3089,34,Female,No,35,Quarterly,Arkansas
4643,50,Male,Yes,44,Monthly,Phoenix
3433,36,Female,No,46,Every 3 Months,Connecticut
432,43,Male,Yes,33,Fortnightly,New Hampshire
2386,41,Male,No,12,Weekly,Oklahoma
2684,68,Female,No,21,Fortnightly,Montana
3024,50,Female,No,4,Quarterly,Indiana
3492,22,Female,No,15,Monthly,Maine
2478,25,Male,,29,Weekly,California
2498,35,Male,No,28,Annually,Colorado
3609,24,Female,No,2,Every 3 Months,Tennessee
855,21,Male,Yes,22,Monthly,California
3045,21,Female,No,10,Quarterly,North Carolina
4863,24,Female,Yes,,Monthly,New York
4425,24,Male,Yes,,Quarterly,Chicago
3113,19,Female,No,26,Annually,Texas
1781,67,Male,No,49,Weekly,North Dakota
1453,60,Male,No,11,Quarterly,Colorado
2813,66,Female,No,1,Every 3 Months,North Dakota
4360,50,Male,Yes,33,Monthly,Chicago
1677,27,Male,No,34,Weekly,West Virginia
2157,38,Male,No,41,Bi-Weekly,Missouri
3243,45,Female,No,17,Weekly,Oregon
2639,22,Male,No,35,Annually,Hawaii
979,56,Male,Yes,33,Weekly,Colorado
4905,41,Female,No,,Quarterly,Los Angeles
3164,49,Female,No,36,Monthly,Nebraska
3838,45,Female,No,33,Fortnightly,New Mexico
2372,67,Male,No,28,Annually,Indiana
3385,39,Female,No,9,Quarterly,Minnesota
4561,53,Male,No,8,Weekly,Los Angeles
3834,44,Female,No,17,Every 3 Months,Arizona
3642,51,Female,No,39,Every 3 Months,New York
3678,32,Female,No,43,Annually,Michigan
373,24,Male,Yes,7,Weekly,Pennsylvania
4625,49,Male,Yes,,Weekly,New York
3256,57,Female,No,36,Monthly,New Jersey
2795,33,Female,No,7,Fortnightly,New York
2138,27,Male,No,20,Every 3 Months,Indiana
4591,58,Other,No,,Quarterly,New York
4738,57,Male,No,,Quarterly,New York
3475,41,Female,No,18,Monthly,Maine
1791,50,Male,No,31,Bi-Weekly,North Carolina
846,31,Male,Yes,30,Monthly,Michigan
2110,59,Male,No,28,Every 3 Months,California
685,63,Male,Yes,42,Monthly,Alabama
747,40,Male,Yes,47,Annually,Michigan
775,42,Male,Yes,11,Quarterly,Nevada
4316,23,Female,No,,Weekly,New York
1329,37,Male,No,40,Weekly,Rhode Island
438,45,Male,Yes,41,Annually,New Mexico
4450,20,Male,No,,Monthly,Los Angeles
3645,35,Female,No,18,Weekly,Arkansas
82,67,Male,Yes,36,Every 3 Months,Virginia
4846,34,Female,No,,Monthly,Los Angeles
3712,69,Female,No,33,Annually,Texas
2468,27,Male,No,28,Annually,New Jersey
4886,23,Male,Yes,,Monthly,Los Angeles
28,56,Male,Yes,7,Every 3 Months,Kentucky
4579,18,Female,No,,Quarterly,New York
4567,54,Female,No,31,Monthly,Chicago
2935,38,Female,No,41,Quarterly,Idaho
375,69,Male,Yes,39,Monthly,Ohio
1679,41,Male,No,30,Fortnightly,Ohio
3293,62,Female,No,18,Fortnightly,Missouri
4996,56,Other,No,27,Monthly,New York
2695,66,Female,No,34,Every 3 Months,Louisiana
4250,24,Other,No,,Monthly,Houston
1838,41,Male,No,8,Monthly,Montana
449,32,Male,Yes,35,Fortnightly,Missouri
815,31,Male,Yes,8,Monthly,Minnesota
4120,65,Other,Yes,,Monthly,Chicago
3007,37,Female,No,17,Bi-Weekly,Utah
1463,38,Male,No,2,Quarterly,Utah
3156,22,Female,No,34,Annually,Montana
3245,65,Female,No,42,Annually,Arkansas
3661,19,Female,No,13,Fortnightly,Arkansas
2518,64,Male,No,10,Annually,Wyoming
4496,22,Male,Yes,45,Monthly,Chicago
840,48,Male,Yes,10,Every 3 Months,Illinois
640,54,Male,Yes,50,Annually,Mississippi
5011,63,Male,Yes,,Weekly,New York
3866,25,Female,No,28,Every 3 Months,Nebraska
3333,27,Female,No,1,Bi-Weekly,Washington
4482,67,Female,No,,Weekly,Los Angeles
907,41,Male,Yes,21,Bi-Weekly,South Carolina
748,51,Male,Yes,13,Weekly,Oklahoma
1403,62,Male,No,47,Monthly,North Dakota
4361,20,Other,Yes,29,Quarterly,Houston
1982,69,Male,No,42,Quarterly,Michigan
2418,21,Male,No,32,Fortnightly,Alaska
4074,61,Female,Yes,15,Monthly,Los Angeles
2159,19,Male,No,9,Fortnightly,Massachusetts
1630,35,Male,No,13,Quarterly,North Dakota
4790,56,Other,No,,Weekly,Phoenix
3290,31,Female,No,16,Every 3 Months,Montana
1304,34,Male,No,10,Annually,New York
3146,57,Female,No,16,Fortnightly,Texas
3016,37,Female,No,27,Bi-Weekly,Wyoming
410,35,Male,Yes,32,Monthly,Minnesota
101,62,Male,Yes,31,Fortnightly,South Dakota
3222,21,Female,No,28,Annually,New Hampshire
549,36,Male,Yes,41,Every 3 Months,Nebraska
1157,20,Male,No,6,Every 3 Months,Hawaii
1511,55,Male,No,31,Annually,Maryland
1921,51,Male,No,40,Every 3 Months,Connecticut
1445,32,Male,No,26,Quarterly,Vermont
1525,22,Male,No,6,Bi-Weekly,Massachusetts
2979,53,Female,No,49,Fortnightly,Idaho
600,51,Male,Yes,27,Every 3 Months,Massachusetts
2662,43,Female,No,20,Annually,Michigan
938,32,Male,Yes,18,Quarterly,Iowa
3751,42,Female,No,5,Monthly,Arizona
2171,40,Male,No,37,Every 3 Months,South Carolina
4225,26,Other,Yes,26,Weekly,Houston
1171,57,Male,No,33,Bi-Weekly,Illinois
4343,48,Other,No,26,Weekly,Los Angeles
4023,55,Other,Yes,,Weekly,Phoenix
219,28,Male,Yes,8,Quarterly,California
3360,43,Female,No,29,Monthly,New Hampshire
3505,65,Female,No,50,Monthly,Hawaii
1276,55,Male,No,1,Monthly,Arkansas
2775,56,Female,No,42,Quarterly,Oklahoma
1369,21,Male,No,2,Weekly,Wisconsin
5072,28,Female,No,29,Quarterly,Houston
1608,49,Male,No,43,Quarterly,Vermont
1946,35,Male,No,9,Every 3 Months,Georgia
2188,37,Male,No,20,Annually,Idaho
1725,42,Male,No,21,Weekly,Delaware
483,41,Male,Yes,11,Annually,Connecticut
520,19,Male,Yes,17,Quarterly,Minnesota
3823,70,Female,No,17,Every 3 Months,Kansas
3892,36,Female,No,6,Quarterly,Colorado
4766,44,Female,No,,Monthly,Chicago
2948,52,Female,No,50,Annually,Nebraska
2947,38,Female,No,29,Quarterly,Hawaii
594,67,Male,Yes,9,Every 3 Months,Alaska
851,68,Male,Yes,13,Monthly,Connecticut
357,56,Male,Yes,27,Weekly,Nevada
2828,20,Female,No,11,Bi-Weekly,Wisconsin
3129,65,Female,No,20,Annually,Arkansas
3849,22,Female,No,39,Every 3 Months,New Hampshire
3013,42,Female,No,16,Annually,Idaho
4820,25,Other,Yes,,Monthly,New York
998,64,Male,Yes,31,Fortnightly,Kentucky
565,67,Male,Yes,30,Weekly,Florida
2087,65,Male,,36,Every 3 Months,North Dakota
3703,58,Female,No,36,Weekly,South Carolina
3355,42,Female,No,15,Weekly,Maryland
4197,30,Female,No,26,Weekly,Chicago
2339,66,Male,No,21,Quarterly,Georgia
4947,50,Male,No,3,Weekly,Houston
1233,57,Male,No,31,Every 3 Months,New York
489,58,Male,Yes,32,Weekly,Maine
1125,42,Male,No,40,Quarterly,Iowa
1043,55,Male,Yes,47,Weekly,Maryland
411,29,Male,Yes,1,Quarterly,Virginia
3216,34,Female,No,10,Every 3 Months,Rhode Island
4799,48,Male,No,,Weekly,Phoenix
2842,19,Female,No,31,Weekly,Ohio
2262,58,Male,No,12,Fortnightly,South Carolina
2346,28,Male,No,23,Every 3 Months,New York
267,51,Male,Yes,32,Weekly,Louisiana
1642,50,Male,No,1,Every 3 Months,Colorado
4427,23,Female,Yes,1,Weekly,Houston
2556,24,Male,No,23,Weekly,Idaho
2425,49,Male,No,28,Bi-Weekly,Delaware
4748,26,Male,No,,Quarterly,Houston
4565,26,Male,No,43,Monthly,Houston
4544,45,Other,Yes,28,Quarterly,Chicago
830,42,Male,Yes,14,Fortnightly,Idaho
1264,41,Male,No,1,Bi-Weekly,Delaware
4523,51,Other,Yes,,Quarterly,Phoenix
1565,22,Male,No,30,Every 3 Months,California
2735,63,Female,No,13,Bi-Weekly,New York
2981,70,Female,No,9,Monthly,New Jersey
2625,19,Male,No,19,Annually,South Dakota
639,53,Male,Yes,41,Monthly,Maryland
2399,65,Male,No,44,Fortnightly,Florida
441,20,Male,Yes,34,Fortnightly,Oklahoma
974,60,Male,Yes,30,Quarterly,Colorado
3738,19,Female,No,43,Bi-Weekly,Kentucky
3272,35,Female,No,30,Weekly,Nevada
1199,40,Male,No,17,Annually,New Jersey
2428,27,Male,No,45,Quarterly,Oregon
2009,57,Male,No,27,Every 3 Months,Florida
2886,29,Female,No,14,Bi-Weekly,Nevada
4040,43,Male,No,,Weekly,Chicago
551,62,Male,Yes,12,Weekly,Georgia
1999,20,Male,No,19,Quarterly,Vermont
4630,25,Female,No,50,Quarterly,Chicago
4003,69,Other,Yes,19,Monthly,Chicago
536,56,Male,Yes,24,Weekly,West Virginia
3783,40,Female,No,42,Fortnightly,Alabama
125,44,Male,Yes,50,Annually,Nevada
3322,32,Female,No,3,Annually,Maine
2074,38,Male,No,2,Every 3 Months,Texas
2539,18,Male,No,33,Bi-Weekly,New Jersey
1475,31,Male,No,6,Monthly,New Jersey
3345,62,Female,No,20,Annually,Washington
236,43,Male,Yes,31,Quarterly,New Jersey
3341,42,Female,No,47,Fortnightly,Virginia
2727,33,Female,No,11,Bi-Weekly,Michigan
3844,64,Female,No,48,Every 3 Months,Georgia
4284,70,Male,Yes,49,Quarterly,Phoenix
222,28,Male,Yes,6,Quarterly,North Carolina
4979,63,Female,No,22,Quarterly,Phoenix
1540,32,Male,No,19,Every 3 Months,Hawaii
3463,44,Female,No,34,Every 3 Months,Michigan
2026,42,Male,No,43,Fortnightly,Delaware
985,26,Male,Yes,8,Bi-Weekly,Utah
2594,36,Male,No,9,Every 3 Months,Colorado
2253,48,Male,No,21,Annually,Nebraska
1176,35,Male,No,26,Quarterly,New Jersey
834,43,Male,Yes,11,Annually,Oklahoma
4764,32,Other,Yes,41,Monthly,Houston
3511,49,Female,No,14,Monthly,Pennsylvania
3307,63,Female,No,6,Fortnightly,Colorado
1291,67,Male,No,3,Annually,Maryland
2078,64,Male,No,26,Annually,Nebraska
4401,49,Other,No,32,Quarterly,Phoenix
2315,42,Male,No,12,Every 3 Months,Virginia
1438,69,Male,No,14,Annually,Montana
246,49,Male,Yes,45,Fortnightly,Rhode Island
762,57,Male,Yes,26,Weekly,Nevada
1295,27,Male,No,21,Every 3 Months,Texas
1045,39,Male,Yes,17,Every 3 Months,Oregon
1889,62,Male,No,48,Weekly,South Dakota
1582,69,Male,No,46,Quarterly,Ohio
4537,47,Female,No,35,Monthly,Houston
684,33,Male,Yes,3,Monthly,Michigan
504,55,Male,Yes,26,Quarterly,West Virginia
160,58,Male,Yes,39,Every 3 Months,New Hampshire
2788,36,Female,No,4,Fortnightly,West Virginia
4209,49,Female,No,20,Quarterly,Chicago
4298,58,Female,Yes,38,Monthly,Houston
1719,54,Male,No,14,Every 3 Months,Maryland
746,46,Male,Yes,4,Monthly,Michigan
3606,68,Female,No,36,Every 3 Months,Alabama
397,46,Male,Yes,24,Annually,South Carolina
1887,18,Male,No,46,Bi-Weekly,Arkansas
3034,22,Female,No,9,Weekly,Alabama
3062,33,Female,No,20,Every 3 Months,South Dakota
4051,65,Male,No,49,Monthly,Los Angeles
305,40,Male,Yes,45,Bi-Weekly,Oregon
2123,32,Male,No,42,Weekly,Virginia
4149,55,Female,Yes,,Weekly,Los Angeles
2959,55,Female,No,28,Monthly,Ohio
1391,25,Male,No,42,Weekly,Arkansas
2566,30,Male,No,8,Quarterly,Vermont
3292,29,Female,No,11,Monthly,New Mexico
4320,35,Male,No,,Quarterly,Chicago
80,38,Male,Yes,43,Every 3 Months,Iowa
1460,20,Male,No,18,Fortnightly,Maine
664,59,Male,Yes,23,Monthly,Alaska
197,38,Male,Yes,41,Fortnightly,Washington
2028,50,Male,No,50,Every 3 Months,Nebraska
289,30,Male,Yes,34,Bi-Weekly,North Carolina
1330,70,Male,No,50,Every 3 Months,Texas
761,33,Male,Yes,6,Annually,Minnesota
377,51,Male,Yes,2,Bi-Weekly,South Carolina
1141,31,Male,No,6,Every 3 Months,Maryland
4697,46,Female,No,,Weekly,Phoenix
319,45,Male,Yes,10,Annually,South Dakota
3611,18,Female,No,23,Fortnightly,Texas
4566,41,Other,No,,Weekly,Los Angeles
3695,45,Female,No,11,Bi-Weekly,Rhode Island
1847,68,Male,No,9,Quarterly,Wisconsin
3897,52,Female,No,41,Bi-Weekly,Iowa
1,55,Male,Yes,14,Fortnightly,Kentucky
1536,36,Male,No,8,Monthly,West Virginia
1077,33,Male,No,47,Bi-Weekly,North Dakota
1260,68,Male,No,45,Monthly,Minnesota
1890,59,Male,No,27,Weekly,North Carolina
1646,53,Male,No,36,Every 3 Months,Ohio
4520,60,Male,Yes,,Monthly,Chicago
5034,48,Other,No,,Monthly,Houston
4411,70,Other,No,,Weekly,Los Angeles
1178,54,Male,No,24,Monthly,Iowa
1954,25,Male,No,3,Fortnightly,Colorado
192,64,Male,Yes,29,Every 3 Months,Utah
3150,18,Female,No,9,Annually,North Carolina
3483,66,Female,No,35,Weekly,Hawaii
202,69,Male,Yes,15,Annually,Missouri
3275,46,Female,No,14,Fortnightly,Oklahoma
1374,18,Male,No,6,Quarterly,Virginia
2047,39,Male,No,30,Every 3 Months,Oklahoma
2270,49,Male,No,27,Annually,Kentucky
