Item Purchased,Size,Color,Category,Season,Review Rating,Purchase Amount (USD),Discount Applied,Shipping Type,Payment Method,Customer ID
Phone,L,Black,Clothing,Summer,,1032.09,No,Express,PayPal,4685
Pants,L,Yellow,Clothing,Winter,4.5,26,Yes,Next Day Air,Debit Card,1612
Phone,S,Red,Accessories,Autumn,,1282.44,Yes,Express,PayPal,4289
Gloves,L,Black,Accessories,Spring,2.6,31,No,Store Pickup,Venmo,3552
Shirt,XL,White,Clothing,Winter,2.9,45,No,Store Pickup,Venmo,2918
T-shirt,L,Charcoal,Clothing,Winter,4.1,70,Yes,Free Shipping,Venmo,1192
Backpack,M,Green,Accessories,Spring,4.6,30,No,2-Day Shipping,PayPal,1907
Socks,M,Lavender,Clothing,Spring,3.2,91,Yes,Standard,PayPal,1332
Jewelry,XL,Orange,Accessories,Spring,4.5,24,Yes,Express,Debit Card,316
Jeans,L,Violet,Clothing,Spring,4.7,50,Yes,Next Day Air,Cash,347
Handbag,M,Olive,Accessories,Spring,4.7,56,No,Store Pickup,Venmo,3115
Bag,M,White,Clothing,Summer,,,No,Express,PayPal,5042
Jacket,S,Magenta,Outerwear,Spring,3.8,33,Yes,2-Day Shipping,Debit Card,1498
Belt,M,Lavender,Accessories,Winter,3.4,46,Yes,Next Day Air,Credit Card,1606
Watch,,Red,Electronics,Autumn,,,No,Express,PayPal,4418
Bag,L,Red,Accessories,Spring,,,No,Standard,PayPal,4894
Headphones,S,Black,Accessories,Summer,,,Yes,Standard,Cash,4576
Blouse,M,Beige,Clothing,Spring,4.6,55,No,2-Day Shipping,Bank Transfer,2486
Backpack,S,Lavender,Accessories,Summer,2.9,56,Yes,Standard,Debit Card,187
Jewelry,M,Indigo,Accessories,Spring,3,32,Yes,Express,Cash,275
Sandals,M,Blue,Footwear,Fall,3.5,59,Yes,2-Day Shipping,PayPal,1402
Skirt,S,Beige,Clothing,Spring,4.9,23,Yes,Standard,Cash,1181
Skirt,L,Orange,Clothing,Fall,2.8,57,No,Store Pickup,PayPal,2130
Shoes,L,Violet,Footwear,Fall,3.2,68,Yes,Express,Debit Card,995
Jewelry,XL,Maroon,Accessories,Winter,3.6,52,Yes,Express,Bank Transfer,1230
Watch,,Green,Electronics,Summer,,,Yes,Express,PayPal,4319
Phone,L,Red,Accessories,Summer,,748.61,No,Express,PayPal,4489
Bag,,Green,Electronics,Winter,4,,Yes,Standard,Debit Card,4708
Laptop,,Green,Electronics,Summer,,,No,Express,Debit Card,4827
,M,Cyan,Clothing,Summer,3.9,95,Yes,2-Day Shipping,Bank Transfer,1348
Watch,M,Black,Clothing,Autumn,5,,Yes,Express,Debit Card,4584
Scarf,M,Charcoal,Accessories,Fall,4.1,53,No,Free Shipping,Bank Transfer,3116
Socks,XL,Beige,Clothing,Summer,3.6,83,Yes,Free Shipping,PayPal,1168
Skirt,L,Charcoal,Clothing,Spring,4.4,86,No,Free Shipping,Credit Card,3685
Phone,M,Black,Clothing,Summer,,,No,Express,PayPal,4111
Coat,M,Gold,Outerwear,Spring,4.1,25,No,Express,PayPal,2850
Sunglasses,L,Violet,Accessories,Summer,3.2,24,Yes,Standard,Cash,1636
Hat,L,Pink,Accessories,Winter,4,44,Yes,Standard,Credit Card,1489
Jacket,M,Gray,Outerwear,Summer,4,31,No,Express,Bank Transfer,3827
Sandals,S,Black,Footwear,Summer,4,83,No,Next Day Air,Credit Card,2417
Hoodie,L,Pink,Clothing,Winter,5,53,No,Express,Credit Card,2832
Shirt,L,White,Clothing,Autumn,,557.24,Yes,Express,PayPal,4607
Shoes,L,Brown,Footwear,Winter,3.6,66,No,Express,Credit Card,2367
Watch,L,Blue,Accessories,Autumn,,,Yes,Standard,Cash,4851
Shorts,M,Magenta,Clothing,Spring,5,20,Yes,Store Pickup,Debit Card,508
Shirt,M,Red,Accessories,Summer,,692.11,Yes,Express,Debit Card,4845
Sneakers,S,Cyan,Footwear,Winter,3.9,43,No,Next Day Air,Credit Card,2098
Coat,S,Blue,Outerwear,Summer,4.4,33,Yes,Free Shipping,Bank Transfer,1080
Bag,M,White,Accessories,Autumn,,208.02,Yes,Standard,PayPal,4558
Laptop,M,Green,Clothing,Spring,1,,Yes,Standard,Debit Card,4492
Laptop,,Blue,Electronics,Summer,,,Yes,Express,Credit Card,4292
Handbag,M,Gold,Accessories,Spring,4.5,64,No,Free Shipping,Cash,3036
Shoes,M,Charcoal,Footwear,Spring,4.9,99,No,Free Shipping,Bank Transfer,3554
Gloves,S,Indigo,Accessories,Fall,4.6,23,No,Free Shipping,Debit Card,2077
Shirt,M,Charcoal,Clothing,Spring,3.1,84,No,Free Shipping,Bank Transfer,3088
Shorts,M,Brown,Clothing,Spring,2.7,45,No,Free Shipping,Cash,3739
Jeans,M,Pink,Clothing,Fall,2.6,70,No,Express,Cash,3309
Handbag,M,Cyan,Accessories,Fall,4.6,24,No,Standard,Cash,2922
Shirt,XL,Red,Clothing,Summer,2,1398.9,No,Express,PayPal,4156
Headphones,M,Red,Accessories,Winter,3,500.3,No,Express,PayPal,4869
Shorts,S,Gold,Clothing,Spring,3.6,52,Yes,2-Day Shipping,Cash,660
Hat,M,Peach,Accessories,Fall,2.9,50,No,Store Pickup,Credit Card,3632
Hoodie,S,Olive,Clothing,Winter,3.4,85,No,Next Day Air,Cash,3217
Skirt,M,White,Clothing,Fall,4.6,33,No,Standard,Bank Transfer,3696
Jewelry,M,Teal,Accessories,Fall,4.5,95,Yes,Standard,Debit Card,146
Sunglasses,M,Cyan,Accessories,Spring,4,95,Yes,2-Day Shipping,Debit Card,693
Pants,M,Teal,Clothing,Fall,4.2,52,No,2-Day Shipping,Credit Card,1837
Jewelry,L,Gold,Accessories,Summer,3.4,69,Yes,Standard,Bank Transfer,598
Handbag,S,Purple,Accessories,Spring,2.6,65,Yes,Free Shipping,Credit Card,165
Jeans,M,Magenta,Clothing,Spring,3.9,64,Yes,Standard,Credit Card,1186
Shorts,M,Black,Clothing,Spring,4.1,64,No,Express,Debit Card,3328
Watch,XL,Blue,Clothing,Winter,,498.03,Yes,Standard,Debit Card,4404
Shoes,M,Red,Accessories,Spring,,,No,Express,Credit Card,4153
Laptop,,White,Electronics,Winter,2,1392.02,Yes,Standard,Cash,4587
Shoes,,Black,Electronics,Winter,,,Yes,Standard,Credit Card,4057
Sneakers,M,Violet,Footwear,Spring,3.4,69,No,Standard,Venmo,3889
Backpack,M,Charcoal,Accessories,Fall,3.6,96,Yes,Next Day Air,Bank Transfer,106
Shoes,XL,Black,Clothing,Autumn,,390.25,No,Standard,Credit Card,4176
Sneakers,S,Magenta,Footwear,Spring,3.8,21,Yes,Free Shipping,Credit Card,63
Handbag,S,Lavender,Accessories,Fall,4.6,71,No,Store Pickup,PayPal,3455
Hoodie,L,Pink,Clothing,Summer,3.1,73,No,Next Day Air,Cash,2500
Sunglasses,S,Yellow,Accessories,Winter,4.6,94,No,Next Day Air,Debit Card,2136
Blouse,L,Brown,Clothing,Summer,2.7,77,No,Store Pickup,Credit Card,3584
Shirt,S,Black,Accessories,Summer,3,,No,Standard,Debit Card,4118
Boots,L,Gray,Footwear,Summer,3,21,No,Express,Credit Card,2547
Bag,M,White,Accessories,Autumn,4,34.65,Yes,Express,Debit Card,4972
Scarf,M,Peach,Accessories,Fall,3.2,33,No,Standard,Credit Card,3365
Boots,L,Green,Footwear,Fall,4,22,Yes,Free Shipping,,1637
Socks,L,Indigo,Clothing,Winter,4.6,89,No,2-Day Shipping,Debit Card,2000
Coat,M,Black,Outerwear,Fall,2.9,44,No,Free Shipping,Venmo,2603
Boots,M,Violet,Footwear,Fall,3.6,96,No,2-Day Shipping,Debit Card,2700
Shoes,M,Black,Accessories,Autumn,4,1312.35,Yes,Standard,Cash,4189
Belt,M,Charcoal,Accessories,Summer,2.8,31,No,Store Pickup,Cash,3371
Hoodie,XL,Purple,Clothing,Spring,4.6,76,No,Store Pickup,Bank Transfer,3599
Shoes,S,Red,Clothing,Autumn,1,,Yes,Standard,Credit Card,4072
Pants,M,Cyan,Clothing,Fall,2.9,88,Yes,Express,Venmo,1432
Scarf,M,Black,Accessories,Fall,2.5,66,No,Next Day Air,PayPal,2381
Jewelry,M,Indigo,Accessories,Spring,3.5,57,No,Store Pickup,Venmo,2120
Shoes,M,Silver,Footwear,Fall,4.8,87,No,Standard,Bank Transfer,3502
Shoes,S,Orange,Footwear,Winter,4.8,74,No,Standard,Cash,3551
Boots,M,Maroon,Footwear,Spring,3.5,60,Yes,2-Day Shipping,Bank Transfer,712
Sneakers,M,Charcoal,Footwear,Spring,4.8,85,Yes,Store Pickup,Debit Card,1337
Sneakers,M,Magenta,Footwear,Winter,4.2,22,Yes,Standard,Venmo,1047
Gloves,L,Charcoal,Accessories,Winter,4.3,25,No,Standard,Cash,2225
Pants,L,Silver,Clothing,Summer,2.9,74,No,Free Shipping,Credit Card,3525
Watch,,Black,Electronics,Autumn,,532.49,Yes,Standard,Debit Card,4530
Gloves,L,Peach,Accessories,Winter,2.8,94,No,Free Shipping,Debit Card,3199
Belt,S,Cyan,Accessories,Summer,4.4,70,Yes,Express,Cash,70
Scarf,M,Peach,Accessories,Spring,2.8,52,No,Store Pickup,Bank Transfer,2721
Coat,XL,Olive,Outerwear,Winter,3.6,28,Yes,Next Day Air,Bank Transfer,436
Jewelry,L,Brown,Accessories,Spring,3.4,39,Yes,Express,PayPal,387
Hat,M,Beige,Accessories,Winter,3.3,32,No,2-Day Shipping,Credit Card,3867
Hoodie,M,Pink,Clothing,Winter,3.5,67,No,Free Shipping,Credit Card,3358
Hoodie,L,Purple,Clothing,Fall,2.8,23,Yes,Next Day Air,Cash,608
Coat,S,Blue,Outerwear,Summer,3.7,95,Yes,Store Pickup,Cash,115
Laptop,S,Red,Clothing,Summer,,95.15,No,Standard,Cash,4712
Shirt,,Blue,Electronics,Spring,4,1342.62,Yes,Standard,PayPal,5058
Sunglasses,XL,Gold,Accessories,Spring,4.3,25,No,Store Pickup,Cash,2568
Watch,M,Blue,Clothing,Summer,3,,Yes,Express,PayPal,4381
Watch,,Green,Electronics,Winter,,105.21,Yes,Standard,PayPal,4192
Gloves,S,Silver,Accessories,Summer,3.7,39,Yes,Next Day Air,Credit Card,235
Skirt,XL,Maroon,Clothing,Spring,4,54,No,2-Day Shipping,Venmo,3699
Skirt,M,Yellow,Clothing,Spring,3.1,78,No,Free Shipping,Debit Card,3215
Boots,M,Brown,Footwear,Winter,3.9,71,No,Next Day Air,Credit Card,1876
Sweater,M,White,Clothing,Winter,3.6,32,Yes,Free Shipping,PayPal,1625
Scarf,L,Turquoise,Accessories,Spring,2.8,32,Yes,Next Day Air,PayPal,1396
Coat,L,Silver,Outerwear,Summer,2.6,97,Yes,Express,Venmo,9
Skirt,L,Green,Clothing,Winter,4.9,48,No,Standard,Venmo,2168
Hat,L,Brown,Accessories,Fall,3.9,39,Yes,Free Shipping,Bank Transfer,749
Dress,XL,Orange,Clothing,Spring,4.4,82,No,Free Shipping,Venmo,2507
Dress,M,Black,Clothing,Spring,3.9,93,Yes,Express,PayPal,1285
Watch,,White,Electronics,Summer,5,,No,Standard,Cash,4047
Shirt,S,Green,Accessories,Winter,2,,Yes,Standard,Debit Card,5014
,S,Teal,Clothing,Winter,3.1,46,Yes,2-Day Shipping,Credit Card,1195
Jeans,L,Green,Clothing,Fall,3.2,53,No,Store Pickup,Cash,2013
Watch,M,White,Clothing,Summer,2,,No,Express,Credit Card,4076
Boots,L,Blue,Footwear,Fall,2.7,24,No,Standard,Venmo,2050
Pants,XL,Peach,Clothing,Spring,4.5,56,Yes,Express,PayPal,1306
Bag,,Green,Electronics,Summer,,,Yes,Express,Debit Card,5024
T-shirt,M,White,Clothing,Fall,3.8,59,No,Free Shipping,Venmo,3170
Hat,S,Peach,Accessories,Fall,4,58,Yes,2-Day Shipping,Cash,1116
Sneakers,L,Yellow,Footwear,Winter,3.8,39,No,Standard,Debit Card,2317
Sweater,S,Gray,Clothing,Winter,4.8,97,Yes,Next Day Air,Venmo,728
Jeans,L,Turquoise,Clothing,Winter,4.6,24,Yes,Free Shipping,PayPal,467
Headphones,S,Red,Clothing,Spring,,,Yes,Express,Debit Card,4235
Handbag,S,Purple,Accessories,Fall,3.1,36,Yes,Free Shipping,Venmo,656
Shoes,,Red,Electronics,Summer,,,No,Express,PayPal,4542
Jeans,XL,Teal,Clothing,Spring,2.6,67,Yes,Next Day Air,Bank Transfer,99
Sunglasses,S,Blue,Accessories,Winter,2.9,36,No,Standard,Debit Card,3681
Hat,S,Peach,Accessories,Winter,3.9,31,No,Express,Credit Card,3715
Backpack,S,Violet,Accessories,Summer,2.7,99,No,Free Shipping,Debit Card,2726
Scarf,L,Peach,Accessories,Spring,2.7,56,No,Next Day Air,PayPal,2544
Jeans,M,Teal,Clothing,Fall,3.3,56,No,Free Shipping,Cash,2834
Backpack,L,Teal,Accessories,Summer,3.3,97,Yes,Store Pickup,Cash,1084
Scarf,S,Teal,Accessories,Spring,3.5,39,No,2-Day Shipping,Credit Card,2904
Boots,L,Green,Footwear,Spring,2.5,63,Yes,2-Day Shipping,Credit Card,964
T-shirt,M,Lavender,Clothing,Winter,4,53,Yes,Standard,Venmo,299
Shoes,M,Indigo,Footwear,Spring,,50,Yes,Free Shipping,Cash,1327
Boots,M,Olive,Footwear,Summer,3.1,92,No,Free Shipping,Credit Card,2789
Shoes,M,Olive,Footwear,Spring,3.7,55,No,Free Shipping,Debit Card,2321
Skirt,M,Maroon,Clothing,Spring,4.7,91,Yes,Free Shipping,Venmo,79
Sneakers,M,Gray,Footwear,Spring,3.3,54,Yes,Express,Credit Card,771
Blouse,M,Maroon,Clothing,Winter,3.5,44,Yes,Next Day Air,PayPal,1543
Pants,M,Teal,Clothing,Summer,4.4,66,No,Store Pickup,Credit Card,2223
Scarf,M,Gold,Accessories,Spring,3.1,78,No,Express,Bank Transfer,3461
Gloves,L,Gold,Accessories,Summer,2.7,53,No,Next Day Air,Bank Transfer,1952
Shoes,S,Red,Clothing,Winter,,,No,,PayPal,4552
Coat,S,Beige,Outerwear,Summer,3.9,90,Yes,Next Day Air,Debit Card,1645
T-shirt,L,Cyan,Clothing,Summer,3.9,80,Yes,Free Shipping,Debit Card,510
Hat,M,Magenta,Accessories,Winter,3.2,48,No,Next Day Air,PayPal,2854
Scarf,M,Silver,Accessories,Spring,4.1,32,Yes,Standard,Credit Card,378
Dress,M,Purple,Clothing,Winter,3.6,94,Yes,Standard,PayPal,827
Shirt,,Black,Electronics,Autumn,5,450.41,Yes,Standard,Cash,4571
Coat,L,Magenta,Outerwear,Summer,3.5,32,Yes,2-Day Shipping,Debit Card,546
Blouse,S,Brown,Clothing,Summer,4,94,No,,Bank Transfer,2085
Skirt,M,Gray,Clothing,Summer,4.4,88,Yes,Store Pickup,Debit Card,641
Watch,S,Green,Accessories,Summer,2,,Yes,Standard,Credit Card,5037
Phone,,Red,Electronics,Winter,,854.96,Yes,Standard,PayPal,4843
Backpack,M,Pink,Accessories,Fall,4.3,22,No,Express,Bank Transfer,1771
T-shirt,M,Silver,Clothing,Summer,4.8,64,No,Next Day Air,Credit Card,1861
Headphones,S,Blue,Clothing,Winter,3,,Yes,Standard,Debit Card,4011
Sweater,M,Yellow,Clothing,Fall,3.8,72,No,Express,Debit Card,2915
Watch,M,Green,Clothing,Autumn,4,585.1,Yes,Express,Credit Card,5009
Shoes,,White,Electronics,Autumn,,758.1,No,Standard,PayPal,5083
Belt,XL,Teal,Accessories,Summer,4.3,20,No,2-Day Shipping,Credit Card,2990
Shoes,,White,Electronics,Spring,1,1438.53,Yes,Standard,Cash,4079
Handbag,M,Silver,Accessories,Fall,3.4,33,No,2-Day Shipping,Bank Transfer,2056
Blouse,S,Purple,Clothing,Spring,5,96,No,Express,Cash,1994
Bag,XL,Green,Clothing,Winter,,,No,Express,Cash,4257
Jacket,L,Brown,Outerwear,Winter,3.1,67,No,Standard,Debit Card,2347
Backpack,L,Green,Accessories,Fall,3.3,96,No,Standard,PayPal,3063
Jacket,XL,Purple,Outerwear,Winter,3.7,95,No,Express,Credit Card,1967
Backpack,L,Violet,Accessories,Summer,3.7,68,No,Free Shipping,Credit Card,2131
Phone,M,Green,Clothing,Autumn,,495.98,No,Standard,Debit Card,4171
Handbag,S,Gray,Accessories,Spring,4.7,21,Yes,Store Pickup,PayPal,818
Hat,XL,Cyan,Accessories,Winter,3.5,94,No,Express,Bank Transfer,3336
T-shirt,L,Green,Clothing,Summer,2.9,78,No,Express,PayPal,2100
Jeans,M,Peach,Clothing,Winter,3.2,76,Yes,Store Pickup,PayPal,383
Laptop,M,Green,Accessories,Spring,2,1366.1,Yes,Standard,Debit Card,4991
Skirt,L,Gold,Clothing,Winter,2.9,100,Yes,Next Day Air,PayPal,1592
Shoes,L,Green,Clothing,Spring,,,Yes,Standard,Debit Card,4077
Sunglasses,L,Lavender,Accessories,Winter,2.6,76,No,Store Pickup,Bank Transfer,3127
Sandals,S,Black,Footwear,Spring,2.7,54,No,Store Pickup,Bank Transfer,3759
Skirt,M,Gray,Clothing,Fall,2.6,36,No,Standard,Venmo,1877
Watch,L,White,Clothing,Winter,3,,Yes,Standard,Debit Card,4896
Pants,M,Teal,Clothing,Fall,4.3,44,Yes,Next Day Air,Cash,1564
Shirt,S,Brown,Clothing,Fall,4.1,93,Yes,Standard,Venmo,1610
Shoes,M,Purple,Footwear,Summer,3.5,64,Yes,2-Day Shipping,Bank Transfer,148
Belt,M,Charcoal,Accessories,Summer,4.8,49,No,Free Shipping,Credit Card,2946
Gloves,M,Gray,Accessories,Fall,2.6,90,Yes,Store Pickup,Debit Card,149
Shirt,S,Red,Accessories,Spring,2,,No,Express,Debit Card,5095
Backpack,XL,Gray,Accessories,Winter,4.5,81,No,Standard,Venmo,2564
Shorts,L,Pink,Clothing,Fall,4.1,46,Yes,2-Day Shipping,Debit Card,470
Scarf,M,Orange,Accessories,Winter,3.6,35,No,Express,Bank Transfer,2027
Dress,M,Olive,Clothing,Fall,3.7,88,No,Standard,Venmo,2957
Sunglasses,M,Brown,Accessories,Fall,2.9,66,No,Next Day Air,Credit Card,1995
Laptop,S,Green,Accessories,Summer,3,,Yes,Standard,Cash,4933
Backpack,M,Black,Accessories,Summer,4,26,Yes,Standard,Venmo,111
Hoodie,M,Silver,Clothing,Summer,3.1,30,Yes,Express,Venmo,1010
Shoes,M,Green,Accessories,Spring,4,585.85,No,Express,PayPal,4355
Laptop,XL,Red,Clothing,Summer,,772.94,Yes,Standard,Cash,4743
Socks,M,White,Clothing,Spring,4.7,94,Yes,Free Shipping,Debit Card,585
Sweater,M,Olive,Clothing,Summer,3.8,40,Yes,2-Day Shipping,Bank Transfer,976
Socks,L,Blue,Clothing,Spring,2.5,38,No,Store Pickup,Venmo,2287
Sandals,M,Teal,Footwear,Summer,2.6,49,No,Free Shipping,Bank Transfer,1978
Phone,M,White,Clothing,Spring,,,Yes,Standard,Credit Card,4741
Scarf,S,Gray,Accessories,Summer,4.4,74,No,Next Day Air,Credit Card,2228
Backpack,S,Gold,Accessories,Fall,4.5,97,No,Store Pickup,Bank Transfer,2019
Headphones,,Blue,Electronics,Winter,2,1430.07,No,Standard,Cash,5027
Watch,M,Black,Accessories,Autumn,,1186.98,No,Standard,Credit Card,5082
Watch,L,Red,Accessories,Spring,,,Yes,Standard,Cash,4249
,M,Cyan,Clothing,Winter,3.4,20,Yes,2-Day Shipping,Cash,638
Jeans,M,Silver,Clothing,Summer,3.5,48,No,Store Pickup,PayPal,3357
Shirt,M,Maroon,Clothing,Spring,5,60,Yes,Standard,Venmo,777
Jeans,S,Cyan,Clothing,Winter,3.4,20,No,Express,Venmo,2439
Blouse,M,Orange,Clothing,Fall,3.9,35,No,Standard,PayPal,2690
Shoes,M,Maroon,Footwear,Winter,4.1,32,No,Next Day Air,Debit Card,2552
Headphones,M,Blue,Clothing,Autumn,1,1223.83,Yes,Standard,,4424
Bag,S,Red,Accessories,Autumn,1,,No,Express,PayPal,4214
Sunglasses,L,Olive,Accessories,Winter,3.5,38,No,Standard,Bank Transfer,3526
Jeans,S,Silver,Clothing,Summer,3.8,74,Yes,Standard,Cash,406
Boots,M,Charcoal,Footwear,Summer,4.4,55,No,2-Day Shipping,Cash,2326
Hat,M,Brown,Accessories,Summer,3.8,52,No,Standard,Venmo,2934
Skirt,M,Gray,Clothing,Spring,3.8,94,Yes,Standard,Debit Card,116
Socks,XL,Beige,Clothing,Summer,2.7,29,No,Next Day Air,PayPal,3208
Sandals,M,Gold,Footwear,Winter,2.6,98,No,Store Pickup,Bank Transfer,1841
Jacket,L,Turquoise,Outerwear,Spring,4.9,77,Yes,Store Pickup,Bank Transfer,583
Shirt,L,Lavender,Clothing,Fall,3.5,87,No,Next Day Air,Credit Card,1698
Sunglasses,L,Orange,Accessories,Winter,3.5,31,Yes,2-Day Shipping,Venmo,739
Sunglasses,S,Peach,Accessories,Winter,4.9,30,No,Express,Credit Card,3142
Handbag,M,Gray,Accessories,Spring,3.5,92,No,Standard,Credit Card,3538
T-shirt,M,Violet,Clothing,Winter,3.4,66,No,,PayPal,2249
Bag,S,Blue,Accessories,Spring,,187.34,Yes,Express,PayPal,4557
Blouse,M,Blue,Clothing,Spring,3.3,70,Yes,2-Day Shipping,Debit Card,1054
Shoes,S,Olive,Footwear,Winter,4.4,59,Yes,Next Day Air,Bank Transfer,346
Jacket,M,Silver,Outerwear,Fall,4,56,Yes,Next Day Air,Debit Card,1387
Dress,M,Cyan,Clothing,Summer,2.5,45,Yes,Free Shipping,Credit Card,1399
Shorts,L,Maroon,Clothing,Winter,4.2,40,No,Store Pickup,PayPal,1900
Coat,S,Lavender,Outerwear,Spring,4.5,84,No,Store Pickup,Venmo,2323
Jacket,M,Cyan,Outerwear,Spring,3.4,53,No,Standard,Bank Transfer,2750
Coat,L,Silver,Outerwear,Summer,4.1,24,Yes,Express,PayPal,922
Dress,L,Gold,Clothing,Summer,3.3,53,Yes,Next Day Air,Debit Card,78
Gloves,M,Magenta,Accessories,Spring,3.9,40,Yes,Next Day Air,Bank Transfer,651
Hoodie,M,White,Clothing,Spring,5,36,No,Free Shipping,Credit Card,1933
Handbag,L,Brown,Accessories,Summer,3.1,44,No,Store Pickup,Bank Transfer,1747
Jewelry,M,Red,Accessories,Spring,3.6,20,Yes,Next Day Air,Credit Card,27
Shirt,M,Olive,Clothing,Summer,4.8,82,Yes,Standard,Venmo,325
Headphones,S,Green,Clothing,Winter,5,297.78,Yes,Express,Cash,4237
Phone,,White,Electronics,Spring,,,Yes,Express,Credit Card,4794
Shoes,M,Red,Clothing,Autumn,4,1277.16,Yes,Express,Debit Card,4804
Gloves,L,Yellow,Accessories,Winter,4.9,49,Yes,Next Day Air,Debit Card,1287
Gloves,XL,Silver,Accessories,Fall,3,76,Yes,Free Shipping,Cash,1102
Pants,M,Violet,Clothing,Winter,4,74,Yes,Next Day Air,Bank Transfer,1323
Skirt,L,Violet,Clothing,Fall,2.6,25,Yes,Next Day Air,Bank Transfer,1115
Sweater,L,Gold,Clothing,Spring,3.2,81,Yes,Next Day Air,PayPal,1656
Skirt,L,Teal,Clothing,Summer,3.2,65,No,Free Shipping,Debit Card,3706
Pants,S,Cyan,Clothing,Fall,2.8,30,Yes,Express,PayPal,503
Dress,L,Turquoise,Clothing,Summer,4.3,86,No,Next Day Air,Bank Transfer,2879
Jewelry,L,Cyan,Accessories,Spring,3.3,42,Yes,Store Pickup,Venmo,1150
Dress,M,Teal,Clothing,Spring,3.3,64,No,Store Pickup,Bank Transfer,3089
Phone,,Blue,Electronics,Winter,2,,No,Express,Debit Card,4643
Boots,M,Gray,Footwear,Summer,4.8,44,No,2-Day Shipping,PayPal,3433
Hat,L,Cyan,Accessories,Winter,3.4,76,Yes,Store Pickup,Cash,432
Scarf,M,Brown,Accessories,Fall,3.8,31,No,Express,PayPal,2386
Backpack,M,Indigo,Accessories,Summer,4.2,30,No,Next Day Air,Cash,2684
Backpack,M,Brown,Accessories,Summer,2.9,31,No,Express,PayPal,3024
Pants,M,Orange,Clothing,Winter,4.3,28,No,Express,Cash,3492
Gloves,L,Turquoise,Accessories,Spring,3.8,40,No,2-Day Shipping,PayPal,2478
Backpack,M,Violet,Accessories,Summer,4.2,40,No,Standard,Bank Transfer,2498
Gloves,M,Cyan,Accessories,Fall,4.3,56,No,Next Day Air,Cash,3609
Pants,L,Blue,Clothing,Spring,4.3,44,Yes,Free Shipping,Venmo,855
Boots,M,Magenta,Footwear,Winter,2.7,67,No,Free Shipping,Bank Transfer,3045
Watch,,Green,Electronics,Autumn,,,Yes,Express,Cash,4863
Phone,S,Black,Accessories,Spring,4,1318.69,Yes,Standard,Cash,4425
Blouse,S,Green,Clothing,Fall,3.8,97,No,Express,Venmo,3113
Jewelry,S,Gray,Accessories,Summer,4.2,81,No,Next Day Air,Credit Card,1781
Jacket,L,Blue,Outerwear,Spring,4.7,25,Yes,2-Day Shipping,Bank Transfer,1453
Hoodie,XL,Magenta,Clothing,Fall,3.8,91,No,Store Pickup,Credit Card,2813
Shoes,S,Black,Clothing,Summer,,309.93,Yes,Standard,Cash,4360
Sunglasses,M,Cyan,Accessories,Winter,3.1,44,Yes,Next Day Air,Bank Transfer,1677
Skirt,M,Maroon,Clothing,Winter,3.6,83,No,Next Day Air,Debit Card,2157
Socks,S,Beige,Clothing,Fall,2.8,74,No,Express,Venmo,3243
Shirt,S,Black,Clothing,Spring,4.2,34,No,Store Pickup,Credit Card,2639
Gloves,M,Turquoise,Accessories,Summer,2.5,40,Yes,Standard,Credit Card,979
Bag,M,White,Accessories,Spring,,,Yes,Standard,PayPal,4905
